a (an)	ad.	one
a (an)	ad.	any
a (an)	ad.	each
able	v.	having the power to do something
about	adj.	almost	about half
about	adj.	of or having a relation to	We talk about the weather.
above	ad.	at a higher place
abuse	n.	bad treatment causing harm or injury
accept	v.	to agree to receive
accident	n.	something that happens by chance or mistake
accident	n.	an unplanned event
accuse	v.	to say a person is responsible for an act or crime
accuse	v.	to make a statement against someone
across	ad.	from side to side
across	ad.	to the other side
act	v.	to do something
activist	n.	one who seeks change through action
actor	n.	someone acting in a play or show
add	v.	to put (something) with another to make it larger
add	v.	to say more
administration	n.	the executive part of a government, usually headed by a president or prime minister
admit	v.	to accept	admitted to the United Nations
admit	v.	to express one's guilt or responsibility	He admitted that what he did was wrong.
adult	n.	a grown person
advertise	v.	to show or present the qualities of a product to increase sales
advise	v.	to help with information, knowledge or ideas in making a decision
affect	v.	to produce an effect on
affect	v.	to influence	A lack of sleep affected the singer's performance.
afraid	ad.	feeling fear
after	ad.	later
after	ad.	behind
again	ad.	another time
again	ad.	as before
against	ad.	opposed to
against	ad.	not agreeing with something
age	n.	how old a person or thing is
agency	n.	an organization that is part of a larger group	an agency of the United Nations
aggression	n.	an attack against a person or country
aggression	n.	the violation of a country's borders
ago	ad.	of time past
ago	ad.	before now
agree	v.	to have the same belief as someone
agree	v.	to be willing to do something
agriculture	n.	farming
aid	v.	to help
aid	v.	to support
aid	n.	help, assistance
aim	v.	to point a gun at
aim	n.	a goal or purpose
air	n.	the mixture of gases around the earth, mostly nitrogen and oxygen, that we breathe
air force	n.	a military organization using airplanes
airplane	n.	a vehicle with wings that flies
airport	n.	a place where airplanes take off and land
album	n.	a collection of recorded music
alcohol	n.	a strong, colorless liquid, usually made from grain, used in drinks or in industrial products
alive	ad.	having life
alive	ad.	not dead
all	ad.	everything
all	ad.	everyone
all	ad.	the complete amount
ally	n.	a nation or person joined with another for a special purpose
almost	ad.	a little less than completely
alone	ad.	separated from others
along	ad.	near or on	along the road
already	ad.	before now
already	ad.	even now
also	ad.	added to
also	ad.	too
although	conj.	even if it is true that
always	ad.	at all times
always	ad.	every time
ambassador	n.	a nation's highest diplomatic representative (to another government)
amend	v.	to add to or to change (a proposal or law)
ammunition	n.	the bullets or shells fired from guns
among	ad.	in or part of (a group)
amount	n.	the number, size or weight of anything
anarchy	n.	a lack of order
anarchy	n.	lawlessness
ancestor	n.	a family member from the past
ancient	ad.	very old
ancient	ad.	long ago
and	conj.	also
and	conj.	in addition to
and	conj.	with
anger	n.	a strong emotion against someone or something
animal	n.	a living creature that moves, such as a dog or cat
anniversary	n.	a yearly celebration or observance of an event that happened in the past
announce	v.	to make known publicly
announce	v.	to declare officially
another	ad.	one more
another	ad.	a different one
answer	n.	a statement produced by a question
answer	v.	to make a statement after being asked a question
antibodies	n.	special proteins produced in the blood that kill harmful bacteria
any	ad.	one or more of no special kind
apologize	v.	to express regret for a mistake or accident for which one accepts responsibility
appeal	v.	to take to a higher court, person or group for a decision
appeal	v.	to call on somebody for help
appear	v.	to show oneself
appear	v.	to come into sight
appear	v.	to seem
appoint	v.	to name
appoint	v.	to choose	appoint a judge
approve	v.	to agree with
approve	v.	to agree to support
archeology	n.	the scientific study of past human life and activities
area	n.	any place or part of it
argue	v.	to offer reasons for or against something
argue	v.	to dispute
argue	v.	to disagree
arms	n.	military equipment
arms	n.	weapons
army	n.	military ground forces
around	ad.	on every side (of)
arrest	v.	to seize a person for legal action
arrest	v.	to take as a prisoner
arrive	v.	to come to a place, especially at the end of a trip
art	n.	expressions or creations by humans, such as paintings, music, writing or statues
artillery	n.	big guns
as	conj.	equally	as fast as
as	conj.	when
as	conj.	while
ash	n.	the part left after something burns
ask	v.	to question
ask	v.	to say something is wanted	We ask the teacher questions every day.
assist	v.	to help
astronaut	n.	a person who travels in space
astronomy	n.	the scientific study of stars and the universe
asylum	n.	political protection given by a government to a person from another country
at	prep.	in or near	at the edge
at	prep.	where	look at
at	prep.	when	at noon
atmosphere	n.	the gases surrounding any star or planet
atom	n.	a very small part of all things
atom	n.	the smallest part of an element that can join with parts of other elements
attach	v.	to tie together
attach	v.	to connect
attack	n.	a violent attempt to damage, injure or kill
attack	v.	to start a fight
attempt	v.	to work toward something
attempt	v.	to try
attempt	v.	to make an effort
attend	v.	to be present at
attention	n.	close or careful observing of, or listening to, someone or something	The student paid attention to his teacher.
automobile	n.	a vehicle with wheels used to carry people
automobile	n.	a car
autumn	n.	the time of the year between summer and winter
available	ad.	present and ready for use
available	ad.	willing to serve or help.	There was a list of available candidates.
average	n.	something (a number) representing the middle
average	ad.	common
average	ad.	normal
avoid	v.	to stay away from
awake	ad.	not sleeping
award	n.	an honor or prize for an act or service
away	ad.	not near
baby	n.	a newly born creature
back	n.	the part behind the front
back	ad.	the other way from forward
bacteria	n.	living things that are one cell and can be seen only through a microscope
bacteria	n.	some cause disease
bad	ad.	wrong
bad	ad.	acting against the law
bad	ad.	not good
balance	v.	to make two sides or forces equal
ball	n.	something round
balloon	n.	a device of strong, light material that rises when filled with gas lighter than air
ballot	n.	a piece of paper used for voting
ban	v.	to not permit
ban	v.	to stop
ban	n.	an official restriction
bank	n.	an organization that keeps and lends money
bar	v.	to prevent or block
barrier	n.	anything that blocks or makes an action difficult
base	n.	a military center
base	v.	to establish as a fact	Her research was based on experiments.
battle	n.	a fight between opposing armed forces
be	v.	to live
be	v.	to happen
be	v.	to exist
beat	v.	to hit again and again
beauty	n.	that which pleases the eye, ear or spirit
because	prep.	for the reason that	He left because he was sick.
become	v.	to come to be
bed	n.	a sleeping place
before	prep.	earlier
begin	v.	to do the first part of an action
begin	v.	to start
behavior	n.	the way in which a person or animal acts	The child's behavior was bad because he fought with other children.
behind	ad.	at the back of
behind	ad.	in back of
believe	v.	to think
believe	v.	to feel sure of
believe	v.	to accept as true
believe	v.	to trust
belong	v.	to be owned by
belong	v.	to be a member of
below	ad.	lower than
best	ad.	the most good
betray	v.	to turn against
betray	v.	to be false to
better	ad.	more good than
between	ad.	in the space or time that separates
between	ad.	from one to the other	talks between two nations
big	ad.	of great size
big	ad.	not small
bill	n.	a legislative proposal
biology	n.	the scientific study of life or living things in all their forms
bird	n.	a creature that flies
bite	v.	to cut with the teeth
black	ad.	dark
black	ad.	having the color like that of the night sky
blame	v.	to accuse
blame	v.	to hold responsible
bleed	v.	to lose blood
blind	ad.	not able to see
block	v.	to stop something from being done
block	v.	to prevent movement
blood	n.	red fluid in the body
blow	v.	to move with force, as in air	The wind blows.
blue	ad.	having the color like that of a clear sky
boat	n.	something built to travel on water that carries people or goods
body	n.	all of a person or animal
body	n.	the remains of a person or animal
boil	v.	to heat a liquid until it becomes very hot
bomb	n.	a device that explodes with great force
bomb	v.	to attack or destroy with bombs
bone	n.	the hard material in the body
book	n.	a long written work for reading
border	n.	a dividing line between nations
born	v.	to come to life
born	v.	to come into existence
borrow	v.	to take as a loan
both	ad.	not just one of two, but the two together
bottle	n.	a container, usually made of glass, to hold liquid
bottom	ad.	the lowest part of something
box	n.	something to put things into
box	n.	a container, usually made of paper or wood
boy	n.	a young male person
boycott	v.	to refuse to take part in or deal with
brain	n.	the control center of thought, emotions and body activity of all creatures
brave	ad.	having no fear
bread	n.	a food made from grain
break	v.	to divide into parts by force
break	v.	to destroy
breathe	v.	to take air into the body and let it out again
bridge	n.	a structure built over a waterway, valley or road so people and vehicles can cross from one side to the other
brief	ad.	short
brief	ad.	not long
bright	ad.	giving much light
bright	ad.	strong and clear in color
bring	v.	to come with something
broadcast	v.	to send information, stories or music by radio or television
broadcast	n.	a radio or television program
brother	n.	a male with the same father or mother as another person
brown	ad.	having the color like that of coffee
budget	n.	a spending plan
build	v.	to join materials together to make something
building	n.	anything built for use as a house, factory, office, school, store or place of entertainment
bullet	n.	a small piece of metal shot from a gun
burn	v.	to be on fire
burn	v.	to destroy or damage by fire
burst	v.	to break open suddenly
bury	v.	to put into the ground and cover with earth
bus	n.	a public vehicle to carry people
business	n.	one's work
business	n.	buying and selling to earn money
business	n.	trade
busy	ad.	doing something
busy	ad.	very active
but	conj.	however
but	conj.	other than
but	conj.	yet
buy	v.	to get by paying something, usually money
by	conj.	near
by	conj.	at
by	conj.	next to	by the road
by	conj.	from	a play by William Shakespeare
by	conj.	not later than	by midnight
cabinet	n.	a group of ministers that helps lead a government
call	v.	to give a name to	I call myself John.
call	v.	to ask for or request	They called for an end to the fighting.
calm	ad.	quiet
calm	ad.	peaceful
calm	ad.	opposite tense
camera	n.	a device for taking pictures
camp	n.	a place with temporary housing
campaign	n.	a competition by opposing political candidates seeking support from voters
campaign	n.	a connected series of military actions during a war
can	v.	to be able to
can	v.	to have the right to
can	n.	a container used to hold liquid or food, usually made of metal
cancel	v.	to end
cancel	v.	to stop
cancer	n.	a disease in which dangerous cells grow quickly and destroy parts of the body
candidate	n.	a person who seeks or is nominated for an office or an honor
capital	n.	the official center of a government
capital	n.	the city where a country's government is
capture	v.	to make a person or animal a prisoner
capture	v.	to seize or take by force
capture	v.	to get control of
car	n.	a vehicle with wheels used to carry people
car	n.	an automobile
car	n.	a part of a train
care	v.	to like
care	v.	to protect
care	v.	to feel worry or interest
career	n.	a chosen profession
career	n.	a person's working life	The actor's career lasted for thirty years.
careful	ad.	acting safely
careful	ad.	with much thought
